Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772158270539,3228,3228,3228,3228,3228,3228,3228,3228,48.59870529174805,47.772098541259766,54.2554931640625,53.91872024536133,48.895347595214844,47.50682830810547,50.21956253051758,49.916015625,47.13067626953125,47.91069030761719,0,0,50,0,0,0,0,0,14.170215606689453,17179869184,9663676416,12856852480,7929856000
206,1772158270539,3228,3228,3228,3228,3228,3228,3228,3228,48.59870529174805,47.772098541259766,54.2554931640625,53.91872024536133,48.895347595214844,47.50682830810547,50.21956253051758,49.916015625,47.13067626953125,47.91069030761719,100,NaN,0,0,0,0,0,0,14.170215606689453,17179869184,9663676416,12856410112,7929856000
208,1772158270745,3228,3228,3228,3228,3228,3228,3228,3228,48.59870529174805,47.772098541259766,54.2554931640625,53.91872024536133,48.895347595214844,47.50682830810547,50.21956253051758,49.916015625,47.13067626953125,47.91069030761719,60.000003814697266,61.904762268066406,42.85714340209961,30.000001907348633,4.761904716491699,15.000000953674316,4.761904716491699,4.761904716491699,12.508688926696777,17179869184,9663676416,12873646080,7929856000
207,1772158270954,3228,3228,3228,3228,3228,3228,3228,3228,48.59870529174805,47.772098541259766,54.2554931640625,53.91872024536133,48.895347595214844,47.50682830810547,50.21956253051758,49.916015625,47.13067626953125,47.91069030761719,50,42.85714340209961,85,40.90909194946289,40,33.333335876464844,33.333335876464844,28.571430206298828,12.508688926696777,17179869184,9663676416,12882280448,7929856000
209,1772158271161,3228,3228,3228,3228,3228,3228,3228,3228,47.1805305480957,47.31715774536133,49.62139129638672,49.565345764160156,47.340309143066406,46.31157302856445,49.62104797363281,48.741172790527344,46.629051208496094,47.20294189453125,36.3636360168457,35,76.19047546386719,9.523809432983398,9.090909004211426,0,9.090909004211426,0,12.508688926696777,17179869184,9663676416,12877987840,7929856000
207,1772158271371,3228,3228,3228,3228,3228,3228,3228,3228,47.1805305480957,47.31715774536133,49.62139129638672,49.565345764160156,47.340309143066406,46.31157302856445,49.62104797363281,48.741172790527344,46.629051208496094,47.20294189453125,60.000003814697266,47.619049072265625,33.333335876464844,10,0,4.761904716491699,0,0,12.508688926696777,17179869184,9663676416,12866895872,7929856000
209,1772158271579,3228,3228,3228,3228,3228,3228,3228,3228,47.1805305480957,47.31715774536133,49.62139129638672,49.565345764160156,47.340309143066406,46.31157302856445,49.62104797363281,48.741172790527344,46.629051208496094,47.20294189453125,30.000001907348633,25,25,19.047618865966797,14.285715103149414,0,0,0,12.508688926696777,17179869184,9663676416,12867895296,7929856000
209,1772158271789,3228,3228,3228,3228,3228,3228,3228,3228,47.1805305480957,47.31715774536133,49.62139129638672,49.565345764160156,47.340309143066406,46.31157302856445,49.62104797363281,48.741172790527344,46.629051208496094,47.20294189453125,18.18181800842285,22.72727394104004,18.18181800842285,10,35,0,0,0,11.094669342041016,17179869184,9663676416,12876136448,7929856000
200,1772158271999,3228,3228,3228,3228,3228,3228,3228,3228,47.1805305480957,47.31715774536133,49.62139129638672,49.565345764160156,47.340309143066406,46.31157302856445,49.62104797363281,48.741172790527344,46.629051208496094,47.20294189453125,20,15.000000953674316,19.047618865966797,42.85714340209961,13.043478012084961,4.545454502105713,0,0,11.094669342041016,17179869184,9663676416,12875513856,7929856000
209,1772158272199,3228,3228,3228,3228,3228,3228,3228,3228,46.70128631591797,46.78879928588867,47.39122009277344,48.148345947265625,47.31230163574219,46.00481033325195,48.26700210571289,47.21846389770508,45.80506134033203,46.80848693847656,28.571430206298828,26.3157901763916,30.000001907348633,10,5.263157844543457,0,0,0,11.094669342041016,17179869184,9663676416,12880347136,7929856000
