Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772170217496,3228,3228,3228,3228,3228,3228,3228,3228,49.356353759765625,48.1173095703125,54.879173278808594,54.05880355834961,49.4451904296875,47.61326599121094,50.09668731689453,49.695770263671875,47.349430084228516,48.62261199951172,0,0,0,0,0,0,0,0,16.01152229309082,17179869184,8589934592,12635930624,7616856064
208,1772170217496,3228,3228,3228,3228,3228,3228,3228,3228,49.356353759765625,48.1173095703125,54.879173278808594,54.05880355834961,49.4451904296875,47.61326599121094,50.09668731689453,49.695770263671875,47.349430084228516,48.62261199951172,0,NaN,50,50,0,0,0,0,16.01152229309082,17179869184,8589934592,12637159424,7616856064
203,1772170217704,3228,3228,3228,3228,3228,3228,3228,3228,49.356353759765625,48.1173095703125,54.879173278808594,54.05880355834961,49.4451904296875,47.61326599121094,50.09668731689453,49.695770263671875,47.349430084228516,48.62261199951172,33.333335876464844,28.571430206298828,52.38095474243164,30.000001907348633,23.809524536132813,18.18181800842285,0,0,12.512723922729492,17179869184,8589934592,12647563264,7616856064
209,1772170217908,3228,3228,3228,3228,3228,3228,3228,3228,49.356353759765625,48.1173095703125,54.879173278808594,54.05880355834961,49.4451904296875,47.61326599121094,50.09668731689453,49.695770263671875,47.349430084228516,48.62261199951172,35,38.095237731933594,84.21052551269531,28.571430206298828,15.000000953674316,15.000000953674316,19.047618865966797,15.000000953674316,12.512723922729492,17179869184,8589934592,12655017984,7616856064
202,1772170218118,3228,3228,3228,3228,3228,3228,3228,3228,49.356353759765625,48.1173095703125,54.879173278808594,54.05880355834961,49.4451904296875,47.61326599121094,50.09668731689453,49.695770263671875,47.349430084228516,48.62261199951172,28.571430206298828,26.3157901763916,68.18181610107422,33.333335876464844,19.047618865966797,19.047618865966797,14.285715103149414,18.18181800842285,12.512723922729492,17179869184,8589934592,12655443968,7616856064
208,1772170218321,3228,3228,3228,3228,3228,3228,3228,3228,47.99329376220703,47.77577590942383,50.347206115722656,50.37636184692383,48.24138641357422,46.788002014160156,49.904178619384766,49.25240707397461,47.05514907836914,48.191810607910156,42.85714340209961,38.095237731933594,36.842105865478516,15.000000953674316,14.285715103149414,10,5,0,12.512723922729492,17179869184,8589934592,12690243584,7616856064
209,1772170218529,3228,3228,3228,3228,3228,3228,3228,3228,47.99329376220703,47.77577590942383,50.347206115722656,50.37636184692383,48.24138641357422,46.788002014160156,49.904178619384766,49.25240707397461,47.05514907836914,48.191810607910156,15.789472579956055,20,54.54545593261719,14.285715103149414,5,4.761904716491699,0,0,12.512723922729492,17179869184,8589934592,12691390464,7616856064
209,1772170218739,3228,3228,3228,3228,3228,3228,3228,3228,47.99329376220703,47.77577590942383,50.347206115722656,50.37636184692383,48.24138641357422,46.788002014160156,49.904178619384766,49.25240707397461,47.05514907836914,48.191810607910156,27.272727966308594,19.047618865966797,42.85714340209961,25,14.285715103149414,9.523809432983398,5,0,10.051630020141602,17179869184,8589934592,12663095296,7616856064
206,1772170218949,3228,3228,3228,3228,3228,3228,3228,3228,47.99329376220703,47.77577590942383,50.347206115722656,50.37636184692383,48.24138641357422,46.788002014160156,49.904178619384766,49.25240707397461,47.05514907836914,48.191810607910156,15.000000953674316,13.636363983154297,25,19.047618865966797,52.38095474243164,10,9.523809432983398,0,10.051630020141602,17179869184,8589934592,12673007616,7616856064
204,1772170219156,3228,3228,3228,3228,3228,3228,3228,3228,47.99329376220703,47.77577590942383,50.347206115722656,50.37636184692383,48.24138641357422,46.788002014160156,49.904178619384766,49.25240707397461,47.05514907836914,48.191810607910156,19.047618865966797,20,23.809524536132813,9.090909004211426,4.761904716491699,4.761904716491699,4.761904716491699,0,10.051630020141602,17179869184,8589934592,12673761280,7616856064
209,1772170219360,3228,3228,3228,3228,3228,3228,3228,3228,48.071571350097656,47.60470962524414,50.01018524169922,50.29414367675781,48.92298126220703,47.089813232421875,49.82571792602539,49.49569320678711,46.75998306274414,48.221405029296875,21.052631378173828,23.809524536132813,23.809524536132813,10.526315689086914,9.523809432983398,9.090909004211426,4.761904716491699,0,10.051630020141602,17179869184,8589934592,12675907584,7616856064
209,1772170219570,3228,3228,3228,3228,3228,3228,3228,3228,48.071571350097656,47.60470962524414,50.01018524169922,50.29414367675781,48.92298126220703,47.089813232421875,49.82571792602539,49.49569320678711,46.75998306274414,48.221405029296875,14.285715103149414,10,10,4.761904716491699,0,0,0,0,10.051630020141602,17179869184,8589934592,12672991232,7616856064
202,1772170219780,3228,3228,3228,3228,3228,3228,3228,3228,48.071571350097656,47.60470962524414,50.01018524169922,50.29414367675781,48.92298126220703,47.089813232421875,49.82571792602539,49.49569320678711,46.75998306274414,48.221405029296875,19.047618865966797,19.047618865966797,23.809524536132813,4.545454502105713,0,0,0,0,10.167291641235352,17179869184,8589934592,12673368064,7616856064
209,1772170219983,3228,3228,3228,3228,3228,3228,3228,3228,48.071571350097656,47.60470962524414,50.01018524169922,50.29414367675781,48.92298126220703,47.089813232421875,49.82571792602539,49.49569320678711,46.75998306274414,48.221405029296875,23.809524536132813,15.000000953674316,10,0,0,0,0,0,10.167291641235352,17179869184,8589934592,12670025728,7616856064
209,1772170220193,3228,3228,3228,3228,3228,3228,3228,3228,46.247352600097656,46.9928092956543,46.165069580078125,47.29216384887695,46.70270538330078,45.84220504760742,47.905113220214844,47.35683059692383,45.874420166015625,47.46955108642578,20,30.000001907348633,23.809524536132813,15.000000953674316,4.545454502105713,0,0,0,10.167291641235352,17179869184,8589934592,12670418944,7616856064
158,1772170220454,3228,3228,3228,3228,3228,3228,3228,3228,46.247352600097656,46.9928092956543,46.165069580078125,47.29216384887695,46.70270538330078,45.84220504760742,47.905113220214844,47.35683059692383,45.874420166015625,47.46955108642578,19.230770111083984,22.22222328186035,57.69230651855469,7.407407283782959,0,0,0,0,10.167291641235352,17179869184,8589934592,12673744896,7616856064
201,1772170220613,3228,3228,3228,3228,3228,3228,3228,3228,46.247352600097656,46.9928092956543,46.165069580078125,47.29216384887695,46.70270538330078,45.84220504760742,47.905113220214844,47.35683059692383,45.874420166015625,47.46955108642578,18.75,20,18.75,6.25,18.75,0,5.882352828979492,0,10.167291641235352,17179869184,8589934592,12673744896,7616856064
203,1772170220814,3228,3228,3228,3228,3228,3228,3228,3228,46.247352600097656,46.9928092956543,46.165069580078125,47.29216384887695,46.70270538330078,45.84220504760742,47.905113220214844,47.35683059692383,45.874420166015625,47.46955108642578,19.047618865966797,15.000000953674316,5,0,0,0,0,0,7.706558704376221,17179869184,8589934592,12673744896,7616856064
209,1772170221018,3228,3228,3228,3228,3228,3228,3228,3228,46.247352600097656,46.9928092956543,46.165069580078125,47.29216384887695,46.70270538330078,45.84220504760742,47.905113220214844,47.35683059692383,45.874420166015625,47.46955108642578,75,75,14.285715103149414,0,0,0,0,0,7.706558704376221,17179869184,8589934592,12673744896,7616856064
209,1772170221228,3228,3228,3228,3228,3228,3228,3228,3228,46.11664962768555,46.651363372802734,46.795326232910156,47.16514205932617,46.978187561035156,45.700340270996094,47.819236755371094,47.2569465637207,45.7983512878418,46.978912353515625,38.095237731933594,40.90909194946289,95,33.333335876464844,23.809524536132813,19.047618865966797,22.72727394104004,19.047618865966797,7.706558704376221,17179869184,8589934592,12681297920,7616856064
208,1772170221438,3228,3228,3228,3228,3228,3228,3228,3228,46.11664962768555,46.651363372802734,46.795326232910156,47.16514205932617,46.978187561035156,45.700340270996094,47.819236755371094,47.2569465637207,45.7983512878418,46.978912353515625,15.000000953674316,15.000000953674316,47.619049072265625,28.571430206298828,0,0,0,0,7.706558704376221,17179869184,8589934592,12679004160,7616856064
207,1772170221646,3228,3228,3228,3228,3228,3228,3228,3228,46.11664962768555,46.651363372802734,46.795326232910156,47.16514205932617,46.978187561035156,45.700340270996094,47.819236755371094,47.2569465637207,45.7983512878418,46.978912353515625,23.809524536132813,25,31.81818199157715,25,4.761904716491699,4.761904716491699,0,0,4.354331970214844,17179869184,8589934592,12670582784,7616856064
210,1772170221854,3228,3228,3228,3228,3228,3228,3228,3228,46.11664962768555,46.651363372802734,46.795326232910156,47.16514205932617,46.978187561035156,45.700340270996094,47.819236755371094,47.2569465637207,45.7983512878418,46.978912353515625,57.142860412597656,61.904762268066406,10,0,0,0,0,0,4.354331970214844,17179869184,8589934592,12671598592,7616856064
203,1772170222064,3228,3228,3228,3228,3228,3228,3228,3228,46.11664962768555,46.651363372802734,46.795326232910156,47.16514205932617,46.978187561035156,45.700340270996094,47.819236755371094,47.2569465637207,45.7983512878418,46.978912353515625,20,23.809524536132813,14.285715103149414,9.090909004211426,0,0,0,0,4.354331970214844,17179869184,8589934592,12672106496,7616856064
202,1772170222268,3228,3228,3228,3228,3228,3228,3228,3228,46.41310119628906,46.81556701660156,47.9200439453125,48.327178955078125,46.824302673339844,45.854129791259766,47.90315628051758,47.42380905151367,45.89756393432617,47.15464782714844,35,25,25,5,0,5,0,0,4.354331970214844,17179869184,8589934592,12674678784,7616856064
209,1772170222470,3228,3228,3228,3228,3228,3228,3228,3228,46.41310119628906,46.81556701660156,47.9200439453125,48.327178955078125,46.824302673339844,45.854129791259766,47.90315628051758,47.42380905151367,45.89756393432617,47.15464782714844,20,19.047618865966797,28.571430206298828,0,0,0,0,0,4.354331970214844,17179869184,8589934592,12675072000,7616856064
209,1772170222681,3228,3228,3228,3228,3228,3228,3228,3228,46.41310119628906,46.81556701660156,47.9200439453125,48.327178955078125,46.824302673339844,45.854129791259766,47.90315628051758,47.42380905151367,45.89756393432617,47.15464782714844,19.047618865966797,19.047618865966797,10,0,0,0,0,0,6.80010461807251,17179869184,8589934592,12675465216,7616856064
208,1772170222892,3228,3228,3228,3228,3228,3228,3228,3228,46.41310119628906,46.81556701660156,47.9200439453125,48.327178955078125,46.824302673339844,45.854129791259766,47.90315628051758,47.42380905151367,45.89756393432617,47.15464782714844,19.047618865966797,20,19.047618865966797,9.090909004211426,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,6.80010461807251,17179869184,8589934592,12676251648,7616856064
203,1772170223101,3228,3228,3228,3228,3228,3228,3228,3228,46.41310119628906,46.81556701660156,47.9200439453125,48.327178955078125,46.824302673339844,45.854129791259766,47.90315628051758,47.42380905151367,45.89756393432617,47.15464782714844,23.809524536132813,19.047618865966797,31.81818199157715,4.761904716491699,0,0,0,0,6.80010461807251,17179869184,8589934592,12680298496,7616856064
209,1772170223305,3228,3228,3228,3228,3228,3228,3228,3228,45.37588119506836,46.442413330078125,45.43174743652344,46.11463928222656,46.01622772216797,45.369598388671875,47.294921875,46.478694915771484,45.51593017578125,46.433380126953125,20,23.809524536132813,35,4.761904716491699,0,0,0,0,6.80010461807251,17179869184,8589934592,12680282112,7616856064
209,1772170223515,3228,3228,3228,3228,3228,3228,3228,3228,45.37588119506836,46.442413330078125,45.43174743652344,46.11463928222656,46.01622772216797,45.369598388671875,47.294921875,46.478694915771484,45.51593017578125,46.433380126953125,19.047618865966797,15.000000953674316,15.000000953674316,5,8.69565200805664,0,4.761904716491699,0,6.80010461807251,17179869184,8589934592,12685148160,7616856064
209,1772170223725,3228,3228,3228,3228,3228,3228,3228,3228,45.37588119506836,46.442413330078125,45.43174743652344,46.11463928222656,46.01622772216797,45.369598388671875,47.294921875,46.478694915771484,45.51593017578125,46.433380126953125,15.000000953674316,14.285715103149414,13.636363983154297,33.333335876464844,0,0,0,0,3.8789865970611572,17179869184,8589934592,12702842880,7616856064
