Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772174718338,3228,3228,3228,3228,3228,3228,3228,3228,46.03987503051758,44.64381790161133,51.3084716796875,50.55811309814453,46.718849182128906,44.866031646728516,47.78582000732422,46.51677703857422,44.37012481689453,45.398406982421875,50,0,NaN,66.66667175292969,0,0,0,0,13.356142044067383,17179869184,8589934592,13403226112,7892893696
206,1772174718338,3228,3228,3228,3228,3228,3228,3228,3228,46.03987503051758,44.64381790161133,51.3084716796875,50.55811309814453,46.718849182128906,44.866031646728516,47.78582000732422,46.51677703857422,44.37012481689453,45.398406982421875,100,100,100,0,NaN,NaN,0,NaN,13.356142044067383,17179869184,8589934592,13406781440,7892893696
207,1772174718545,3228,3228,3228,3228,3228,3228,3228,3228,46.03987503051758,44.64381790161133,51.3084716796875,50.55811309814453,46.718849182128906,44.866031646728516,47.78582000732422,46.51677703857422,44.37012481689453,45.398406982421875,47.619049072265625,47.619049072265625,59.09090805053711,40,28.571430206298828,18.18181800842285,9.523809432983398,20,13.356142044067383,17179869184,8589934592,13406781440,7892893696
208,1772174718753,3228,3228,3228,3228,3228,3228,3228,3228,46.03987503051758,44.64381790161133,51.3084716796875,50.55811309814453,46.718849182128906,44.866031646728516,47.78582000732422,46.51677703857422,44.37012481689453,45.398406982421875,55,50,45,38.095237731933594,35,35,30.000001907348633,28.571430206298828,12.661469459533691,17179869184,8589934592,13406781440,7892893696
200,1772174718961,3228,3228,3228,3228,3228,3228,3228,3228,46.03987503051758,44.64381790161133,51.3084716796875,50.55811309814453,46.718849182128906,44.866031646728516,47.78582000732422,46.51677703857422,44.37012481689453,45.398406982421875,47.619049072265625,50,45,28.571430206298828,19.047618865966797,25,9.523809432983398,9.523809432983398,12.661469459533691,17179869184,8589934592,13517078528,7892893696
207,1772174719161,3228,3228,3228,3228,3228,3228,3228,3228,46.03987503051758,44.64381790161133,51.3084716796875,50.55811309814453,46.718849182128906,44.866031646728516,47.78582000732422,46.51677703857422,44.37012481689453,45.398406982421875,47.36842346191406,45,35,15.000000953674316,10,19.047618865966797,0,0,12.661469459533691,17179869184,8589934592,13546586112,7892893696
200,1772174719369,3228,3228,3228,3228,3228,3228,3228,3228,45.125572204589844,45.011566162109375,47.416831970214844,47.7291374206543,45.9737548828125,44.601566314697266,48.256317138671875,46.67681121826172,45.02396774291992,45.81575012207031,57.142860412597656,57.142860412597656,40,15.000000953674316,9.090909004211426,5,4.761904716491699,4.761904716491699,12.661469459533691,17179869184,8589934592,13546586112,7892893696
209,1772174719570,3228,3228,3228,3228,3228,3228,3228,3228,45.125572204589844,45.011566162109375,47.416831970214844,47.7291374206543,45.9737548828125,44.601566314697266,48.256317138671875,46.67681121826172,45.02396774291992,45.81575012207031,36.842105865478516,35,60.000003814697266,65,21.052631378173828,20,5,0,12.661469459533691,17179869184,8589934592,13546586112,7892893696
209,1772174719780,3228,3228,3228,3228,3228,3228,3228,3228,45.125572204589844,45.011566162109375,47.416831970214844,47.7291374206543,45.9737548828125,44.601566314697266,48.256317138671875,46.67681121826172,45.02396774291992,45.81575012207031,40.90909194946289,42.85714340209961,76.19047546386719,70,23.809524536132813,18.18181800842285,9.523809432983398,0,10.414021492004395,17179869184,8589934592,13546586112,7892893696
207,1772174719990,3228,3228,3228,3228,3228,3228,3228,3228,45.125572204589844,45.011566162109375,47.416831970214844,47.7291374206543,45.9737548828125,44.601566314697266,48.256317138671875,46.67681121826172,45.02396774291992,45.81575012207031,38.095237731933594,33.333335876464844,61.904762268066406,57.142860412597656,14.285715103149414,4.761904716491699,4.761904716491699,0,10.414021492004395,17179869184,8589934592,13552074752,7892893696
205,1772174720198,3228,3228,3228,3228,3228,3228,3228,3228,46.15353012084961,45.1716194152832,50.333251953125,51.312400817871094,47.224586486816406,45.39455795288086,48.810455322265625,47.515995025634766,44.801429748535156,45.98408508300781,65,65,65,52.38095474243164,47.619049072265625,45,38.095237731933594,33.333335876464844,10.414021492004395,17179869184,8589934592,13595361280,7892893696
200,1772174720403,3228,3228,3228,3228,3228,3228,3228,3228,46.15353012084961,45.1716194152832,50.333251953125,51.312400817871094,47.224586486816406,45.39455795288086,48.810455322265625,47.515995025634766,44.801429748535156,45.98408508300781,90,84.21052551269531,85,84.21052551269531,80,80,68.42105102539063,61.904762268066406,10.414021492004395,17179869184,8589934592,13675020288,7892893696
204,1772174720603,3228,3228,3228,3228,3228,3228,3228,3228,46.15353012084961,45.1716194152832,50.333251953125,51.312400817871094,47.224586486816406,45.39455795288086,48.810455322265625,47.515995025634766,44.801429748535156,45.98408508300781,80,80.95238494873047,85,80,73.68421173095703,63.15789031982422,61.904762268066406,57.894737243652344,10.414021492004395,17179869184,8589934592,13719994368,7892893696
202,1772174720808,3228,3228,3228,3228,3228,3228,3228,3228,46.15353012084961,45.1716194152832,50.333251953125,51.312400817871094,47.224586486816406,45.39455795288086,48.810455322265625,47.515995025634766,44.801429748535156,45.98408508300781,95,95,89.47368621826172,85,80,80,78.94737243652344,70,13.756537437438965,17179869184,8589934592,13761986560,7892893696
202,1772174721011,3228,3228,3228,3228,3228,3228,3228,3228,46.15353012084961,45.1716194152832,50.333251953125,51.312400817871094,47.224586486816406,45.39455795288086,48.810455322265625,47.515995025634766,44.801429748535156,45.98408508300781,90.47618865966797,85.71428680419922,85,84.21052551269531,80,80,76.19047546386719,70,13.756537437438965,17179869184,8589934592,13819330560,7892893696
209,1772174721213,3228,3228,3228,3228,3228,3228,3228,3228,48.72932815551758,49.90776824951172,52.547584533691406,54.15392303466797,51.01689147949219,48.174110412597656,55.182044982910156,54.85309600830078,50.72328186035156,49.86219024658203,80,75,80,71.42857360839844,65,66.66667175292969,60.000003814697266,60.000003814697266,13.756537437438965,17179869184,8589934592,13832519680,7892893696
207,1772174721423,3228,3228,3228,3228,3228,3228,3228,3228,48.72932815551758,49.90776824951172,52.547584533691406,54.15392303466797,51.01689147949219,48.174110412597656,55.182044982910156,54.85309600830078,50.72328186035156,49.86219024658203,55,55,47.619049072265625,33.333335876464844,20,15.000000953674316,10,9.090909004211426,13.756537437438965,17179869184,8589934592,13875478528,7892893696
201,1772174721631,3228,3228,3228,3228,3228,3228,3228,3228,48.72932815551758,49.90776824951172,52.547584533691406,54.15392303466797,51.01689147949219,48.174110412597656,55.182044982910156,54.85309600830078,50.72328186035156,49.86219024658203,38.095237731933594,33.333335876464844,30.000001907348633,19.047618865966797,14.285715103149414,9.090909004211426,4.545454502105713,0,13.756537437438965,17179869184,8589934592,13869465600,7892893696
199,1772174721833,3228,3228,3228,3228,3228,3228,3228,3228,48.72932815551758,49.90776824951172,52.547584533691406,54.15392303466797,51.01689147949219,48.174110412597656,55.182044982910156,54.85309600830078,50.72328186035156,49.86219024658203,95,95.23809814453125,70,55,45,30.000001907348633,21.052631378173828,23.809524536132813,20.057693481445313,17179869184,8589934592,13862879232,7892893696
203,1772174722033,3228,3228,3228,3228,3228,3228,3228,3228,48.72932815551758,49.90776824951172,52.547584533691406,54.15392303466797,51.01689147949219,48.174110412597656,55.182044982910156,54.85309600830078,50.72328186035156,49.86219024658203,55,52.6315803527832,57.894737243652344,47.36842346191406,20,10.526315689086914,9.523809432983398,0,20.057693481445313,17179869184,8589934592,13856325632,7892893696
208,1772174722236,3228,3228,3228,3228,3228,3228,3228,3228,47.746124267578125,47.20157241821289,50.963470458984375,52.11345291137695,48.60370635986328,46.8041877746582,50.13322830200195,49.42021942138672,46.590267181396484,47.847877502441406,70,65,76.19047546386719,55,40,30.000001907348633,21.052631378173828,25,20.057693481445313,17179869184,8589934592,13795803136,7892893696
208,1772174722445,3228,3228,3228,3228,3228,3228,3228,3228,47.746124267578125,47.20157241821289,50.963470458984375,52.11345291137695,48.60370635986328,46.8041877746582,50.13322830200195,49.42021942138672,46.590267181396484,47.847877502441406,35,42.85714340209961,57.142860412597656,19.047618865966797,14.285715103149414,9.090909004211426,4.545454502105713,0,20.057693481445313,17179869184,8589934592,13766639616,7892893696
