Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772118394248,2592,2592,2592,2592,2592,2592,2592,2592,52.82952880859375,23.848236083984375,86.22186279296875,64.27664184570313,67.1656723022461,7.2370758056640625,36.83736801147461,17.824180603027344,7823.770202636719,75600.6185913086,58305.031005859375,3678.7028198242188,17070227456,7516192768,9619750912,0
4000,1772118394248,2592,2592,2592,2592,2592,2592,2592,2592,16.368545532226563,95.31898498535156,47.45528030395508,100,82.59455871582031,23.521766662597656,16.728622436523438,100,7823.783935546875,75600.7236328125,58305.12548828125,3678.7028198242188,17070227456,7516192768,9619791872,0
4000,1772118398249,2592,2592,2592,2592,2592,2592,2592,2592,51.80908966064453,42.83955001831055,64.50904846191406,47.44314956665039,54.34077835083008,43.160343170166016,55.301143646240234,44.802696228027344,7830.420593261719,75649.0894165039,58339.410705566406,3681.7488403320313,17070227456,7516192768,9657356288,0
4000,1772118402250,2592,2592,2592,2592,2592,2592,2592,2592,41.16566848754883,26.18732452392578,62.621673583984375,29.522865295410156,43.23381805419922,22.19428253173828,35.379371643066406,22.055564880371094,7836.946716308594,75697.04650878906,58373.04345703125,3684.8931274414063,17070227456,7516192768,9688432640,0
4000,1772118406250,2592,2592,2592,2592,2592,2592,2592,2592,43.71323013305664,30.739479064941406,62.354862213134766,26.678367614746094,49.76267623901367,21.264625549316406,37.46165466308594,25.061798095703125,7843.883239746094,75745.23077392578,58406.6669921875,3687.9798583984375,17070227456,7516192768,9688862720,0
4000,1772118410251,2592,2592,2592,2592,2592,2592,2592,2592,47.58478927612305,25.580825805664063,66.64540100097656,24.678611755371094,40.40034103393555,24.038108825683594,38.77703094482422,29.04674530029297,7850.7056884765625,75792.70440673828,58439.606689453125,3691.037109375,17070227456,7516192768,9735405568,0
4000,1772118414251,2592,2592,2592,2592,2592,2592,2592,2592,55.30379104614258,44.27325439453125,63.330955505371094,45.432708740234375,54.11777114868164,43.551429748535156,53.059326171875,44.76502990722656,7857.557373046875,75839.9379272461,58472.99395751953,3693.7365112304688,17070227456,7516192768,9735839744,0
4000,1772118418252,2592,2592,2592,2592,2592,2592,2592,2592,45.809085845947266,29.40833282470703,63.711910247802734,32.48539733886719,42.971717834472656,30.73503875732422,38.13364791870117,32.0347900390625,7864.467956542969,75887.8017578125,58506.30944824219,3696.6987915039063,17070227456,7516192768,9763962880,0
4000,1772118422253,2592,2592,2592,2592,2592,2592,2592,2592,42.86412048339844,30.75867462158203,65.32667541503906,31.141212463378906,40.608299255371094,27.366722106933594,36.063926696777344,29.260101318359375,7871.1591796875,75934.87176513672,58538.9931640625,3699.7271118164063,17070227456,7516192768,9813999616,0
4000,1772118426253,2592,2592,2592,2592,2592,2592,2592,2592,48.21118927001953,31.780258178710938,59.64919662475586,33.622154235839844,52.1743278503418,29.829872131347656,42.41893768310547,35.361122131347656,7877.814025878906,75982.16986083984,58572.056213378906,3702.8064575195313,17070227456,7516192768,9840918528,0
4000,1772118430254,2592,2592,2592,2592,2592,2592,2592,2592,51.29325485229492,40.66670227050781,62.2966194152832,40.67892074584961,53.151123046875,36.973915100097656,50.3848762512207,39.49351119995117,7885.178161621094,76030.25134277344,58605.791931152344,3705.7564697265625,17070227456,7516192768,9827020800,0
4000,1772118434255,2592,2592,2592,2592,2592,2592,2592,2592,46.8701057434082,28.583770751953125,57.343177795410156,30.293502807617188,43.42678451538086,28.234397888183594,37.71378707885742,34.618446350097656,7891.884582519531,76077.23840332031,58638.49005126953,3708.8268432617188,17070227456,7516192768,9819729920,0
4000,1772118438256,2592,2592,2592,2592,2592,2592,2592,2592,39.27888870239258,22.17420196533203,62.04513168334961,22.0821533203125,39.920623779296875,16.35761260986328,32.34344482421875,20.93640899658203,7898.3450927734375,76124.50567626953,58671.28698730469,3712.031005859375,17070227456,7516192768,9820073984,0
4000,1772118442257,2592,2592,2592,2592,2592,2592,2592,2592,55.84742736816406,53.58400344848633,65.02197265625,54.94065475463867,55.22895812988281,59.014259338378906,59.23162841796875,58.2277946472168,7905.806701660156,76172.07305908203,58704.974609375,3714.6226806640625,17070227456,7516192768,9887633408,0
4001,1772118446257,2592,2592,2592,2592,2592,2592,2592,2592,48.980133056640625,36.71134948730469,61.02253723144531,39.00104904174805,49.83736038208008,37.87139892578125,48.30522918701172,44.0147819519043,7912.522888183594,76218.3091430664,58737.14532470703,3717.529541015625,17070227456,7516192768,9897021440,0
4000,1772118450259,2592,2592,2592,2592,2592,2592,2592,2592,56.89907455444336,51.928890228271484,66.8537826538086,48.34341812133789,55.363059997558594,47.5423469543457,54.28354263305664,51.394107818603516,7919.6170654296875,76264.42559814453,58769.57843017578,3720.0270385742188,17070227456,7516192768,9886261248,0
4000,1772118454260,2592,2592,2592,2592,2592,2592,2592,2592,46.77397918701172,36.352630615234375,58.727561950683594,42.06739807128906,46.678924560546875,31.915390014648438,45.39396667480469,37.24300003051758,7926.21923828125,76311.49816894531,58802.531677246094,3723.0833129882813,17070227456,7516192768,9871237120,0
4000,1772118458260,2592,2592,2592,2592,2592,2592,2592,2592,51.693023681640625,41.895591735839844,61.899295806884766,41.680809020996094,48.69002914428711,37.77323913574219,46.79519271850586,43.926937103271484,7933.157531738281,76358.3823852539,58835.361572265625,3725.9349975585938,17070227456,7516192768,9875234816,0
4000,1772118462261,2592,2592,2592,2592,2592,2592,2592,2592,50.428340911865234,43.92204666137695,58.483184814453125,53.073699951171875,55.23491287231445,48.21859359741211,52.566627502441406,57.60116958618164,7939.8214111328125,76404.42559814453,58867.856384277344,3728.5274658203125,17070227456,7516192768,9909022720,0
3999,1772118466262,2592,2592,2592,2592,2592,2592,2592,2592,52.6319694519043,44.211490631103516,62.00523376464844,49.29443359375,53.92925262451172,46.096885681152344,53.35673141479492,49.352134704589844,7947.2415771484375,76452.3012084961,58901.584899902344,3731.2609252929688,17070227456,7516192768,9852395520,0
4000,1772118470262,2592,2592,2592,2592,2592,2592,2592,2592,40.53911590576172,30.754966735839844,59.759056091308594,34.14439392089844,42.68251419067383,24.832473754882813,35.70921325683594,29.692481994628906,7953.661804199219,76497.9574584961,58933.18005371094,3734.2413330078125,17070227456,7516192768,9867386880,0
4000,1772118474263,2592,2592,2592,2592,2592,2592,2592,2592,49.08591842651367,41.55281066894531,65.3647232055664,37.964595794677734,48.91896438598633,40.814029693603516,51.38518142700195,34.94590759277344,7960.289306640625,76545.61810302734,58966.640075683594,3737.130859375,17070227456,7516192768,9865023488,0
3999,1772118478264,2592,2592,2592,2592,2592,2592,2592,2592,38.439903259277344,21.06732940673828,64.27609252929688,17.813262939453125,36.595123291015625,13.892654418945313,31.38469696044922,18.23699188232422,7966.899169921875,76594.00830078125,59000.19396972656,3740.3309326171875,17070227456,7516192768,9864568832,0
4000,1772118482264,2592,2592,2592,2592,2592,2592,2592,2592,39.30709457397461,16.058021545410156,69.97531127929688,15.188201904296875,40.57101058959961,12.795822143554688,30.101951599121094,17.04663848876953,7973.4063720703125,76642.74285888672,59034.29376220703,3743.5120849609375,17070227456,7516192768,9863589888,0
