Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772117784801,2592,2592,2592,2592,2592,2592,2592,2592,100,80.14933776855469,85.01319122314453,77.66781616210938,72.02266693115234,96.3849868774414,99.1379623413086,87.85075378417969,6748.9490966796875,68039.10516357422,52909.16650390625,3219.3299560546875,17070227456,7516192768,9958547456,0
3999,1772117784801,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,94.68452453613281,81.87036895751953,99.82998657226563,100,88.345947265625,6748.9736328125,68039.265625,52909.2744140625,3219.345703125,17070227456,7516192768,9958567936,0
4043,1772117788801,2592,2592,2592,2592,2592,2592,2592,2592,86.21238708496094,84.55449676513672,89.43201446533203,90.51824951171875,77.83375549316406,84.35736083984375,90.21734619140625,96.40702056884766,6755.3687744140625,68087.51416015625,52944.307556152344,3221.83544921875,17070227456,7516192768,10023456768,0
4034,1772117792845,2592,2592,2592,2592,2592,2592,2592,2592,79.97652435302734,75.67786407470703,81.97541046142578,84.58766174316406,71.7508544921875,77.35595703125,83.2946548461914,87.25804138183594,6764.135437011719,68156.7554321289,52994.917724609375,3225.294189453125,17070227456,7516192768,10019778560,0
3987,1772117796895,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,6768.707336425781,68192.41015625,53021.37823486328,3226.81494140625,17070227456,7516192768,10001833984,0
4041,1772117800883,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,6775.464294433594,68236.83740234375,53054.1015625,3228.7340698242188,17070227456,7516192768,10049978368,0
4021,1772117804924,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,6783.841003417969,68289.02514648438,53092.30242919922,3231.0287475585938,17070227456,7516192768,10077687808,0
4001,1772117808946,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,6792.7080078125,68341.3989868164,53130.36279296875,3233.428955078125,17070227456,7516192768,10095538176,0
4007,1772117812948,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,99.99417114257813,100,100,100,100,6800.938293457031,68391.5932006836,53166.68731689453,3235.8396606445313,17070227456,7516192768,10106204160,0
64,1772117816957,2592,2592,2592,2592,2592,2592,2592,2592,98.42356872558594,98.92056274414063,98.6543960571289,99.0401840209961,98.01176452636719,99.07537841796875,98.79822540283203,99.64222717285156,6808.577819824219,68442.9345703125,53204.307678222656,3238.15576171875,17070227456,7516192768,10007846912,0
