Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772117868843,2592,2592,2592,2592,2592,2592,2592,2592,53.739501953125,59.76369857788086,67.2810287475586,90.72373962402344,83.32805633544922,85.21363830566406,67.21770477294922,63.695674896240234,6897.6434326171875,69101.3334350586,53682.72961425781,3274.9221801757813,17070227456,7516192768,9871355904,0
4000,1772117868843,2592,2592,2592,2592,2592,2592,2592,2592,70.95156860351563,79.61137390136719,97.75253295898438,36.3737678527832,79.22703552246094,52.411773681640625,100,74.71924591064453,6897.662109375,69101.46307373047,53682.81726074219,3274.9375610351563,17070227456,7516192768,9871499264,0
4000,1772117872844,2592,2592,2592,2592,2592,2592,2592,2592,77.49500274658203,68.5372085571289,80.496826171875,75.39136505126953,72.43667602539063,70.30592346191406,73.3874282836914,76.45995330810547,6904.6221923828125,69153.16796875,53720.09912109375,3278.0252075195313,17070227456,7516192768,9938620416,0
4000,1772117876844,2592,2592,2592,2592,2592,2592,2592,2592,78.09909057617188,70.74072265625,76.69283294677734,78.7846908569336,70.324462890625,72.79051208496094,75.23271942138672,79.40806579589844,6911.81298828125,69204.72149658203,53757.149353027344,3280.9650268554688,17070227456,7516192768,10110574592,0
4000,1772117880845,2592,2592,2592,2592,2592,2592,2592,2592,83.05094146728516,84.14344024658203,88.64741516113281,89.8990478515625,80.70594024658203,85.80207061767578,88.24747467041016,91.32185363769531,6919.0230712890625,69255.08984375,53793.775817871094,3283.5081787109375,17070227456,7516192768,10217332736,0
4000,1772117884846,2592,2592,2592,2592,2592,2592,2592,2592,76.74931335449219,71.80525207519531,78.09788513183594,77.51905059814453,77.57786560058594,77.89076232910156,79.24063873291016,85.01676177978516,6926.374816894531,69307.21508789063,53830.394104003906,3287.5228271484375,17070227456,7516192768,10109677568,0
4000,1772117888847,2592,2592,2592,2592,2592,2592,2592,2592,73.70536804199219,74.21726989746094,76.55284118652344,75.81207275390625,74.00981903076172,78.1786117553711,79.24421691894531,82.67903900146484,6933.608459472656,69359.19934082031,53866.41027832031,3292.1976928710938,17070227456,7516192768,10067791872,0
4000,1772117892848,2592,2592,2592,2592,2592,2592,2592,2592,68.73345947265625,70.64910125732422,71.14993286132813,72.34165954589844,74.53053283691406,71.49040222167969,69.99929809570313,78.20445251464844,6940.734924316406,69409.96319580078,53901.159240722656,3296.9061279296875,17070227456,7516192768,10067587072,0
4000,1772117896848,2592,2592,2592,2592,2592,2592,2592,2592,73.76913452148438,73.480224609375,79.14069366455078,78.62115478515625,77.40830993652344,75.40727233886719,78.56634521484375,85.19346618652344,6947.9501953125,69461.22802734375,53936.3798828125,3301.5952758789063,17070227456,7516192768,10071695360,0
4000,1772117900849,2592,2592,2592,2592,2592,2592,2592,2592,83.45449829101563,84.92424774169922,84.64157104492188,87.26573181152344,86.32574462890625,88.34577941894531,90.64173889160156,93.65819549560547,6955.626708984375,69512.63537597656,53972.044006347656,3305.9285888671875,17070227456,7516192768,10103488512,0
4000,1772117904850,2592,2592,2592,2592,2592,2592,2592,2592,77.65776062011719,78.55625915527344,77.68878173828125,78.66618347167969,79.53377532958984,79.67499542236328,83.63982391357422,88.22203826904297,6962.936096191406,69564.46356201172,54007.928466796875,3310.5593872070313,17070227456,7516192768,9753800704,0
4000,1772117908850,2592,2592,2592,2592,2592,2592,2592,2592,68.9459457397461,71.28439331054688,71.89849090576172,71.29115295410156,71.36495971679688,71.95858764648438,74.10420227050781,80.8109359741211,6970.2515869140625,69616.78540039063,54043.90087890625,3315.5087280273438,17070227456,7516192768,9688039424,0
4000,1772117912851,2592,2592,2592,2592,2592,2592,2592,2592,72.32018280029297,71.41526794433594,71.84080505371094,73.4349365234375,71.8447036743164,71.19218444824219,75.97074890136719,78.4664306640625,6977.524475097656,69668.13775634766,54079.11749267578,3320.3003540039063,17070227456,7516192768,9731825664,0
4000,1772117916852,2592,2592,2592,2592,2592,2592,2592,2592,67.46994018554688,69.48533630371094,72.73893737792969,70.26690673828125,70.50593566894531,71.8199462890625,71.3575210571289,81.00405883789063,6984.624267578125,69719.5903930664,54114.68377685547,3324.8673095703125,17070227456,7516192768,9731497984,0
4000,1772117920853,2592,2592,2592,2592,2592,2592,2592,2592,66.91168212890625,69.50010681152344,74.6418228149414,70.80810546875,71.1537857055664,70.51964569091797,75.51031494140625,81.39976501464844,6991.848449707031,69770.95141601563,54149.96954345703,3329.5287475585938,17070227456,7516192768,9733709824,0
