Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772164238157,3228,3228,3228,3228,3228,3228,3228,3228,45.59421920776367,44.99404525756836,50.316978454589844,49.526580810546875,46.07890319824219,45.37137222290039,47.809688568115234,46.488609313964844,44.38652801513672,46.30485534667969,0,50,50,0,0,0,0,0,12.837481498718262,17179869184,8589934592,12945719296,7210663936
209,1772164238157,3228,3228,3228,3228,3228,3228,3228,3228,45.59421920776367,44.99404525756836,50.316978454589844,49.526580810546875,46.07890319824219,45.37137222290039,47.809688568115234,46.488609313964844,44.38652801513672,46.30485534667969,NaN,NaN,NaN,NaN,50,NaN,0,0,12.837481498718262,17179869184,8589934592,12945719296,7210663936
209,1772164238367,3228,3228,3228,3228,3228,3228,3228,3228,45.59421920776367,44.99404525756836,50.316978454589844,49.526580810546875,46.07890319824219,45.37137222290039,47.809688568115234,46.488609313964844,44.38652801513672,46.30485534667969,66.66667175292969,66.66667175292969,33.333335876464844,18.18181800842285,19.047618865966797,0,0,0,12.837481498718262,17179869184,8589934592,12945719296,7210663936
209,1772164238577,3228,3228,3228,3228,3228,3228,3228,3228,45.59421920776367,44.99404525756836,50.316978454589844,49.526580810546875,46.07890319824219,45.37137222290039,47.809688568115234,46.488609313964844,44.38652801513672,46.30485534667969,47.619049072265625,52.38095474243164,66.66667175292969,57.142860412597656,47.619049072265625,38.095237731933594,36.3636360168457,28.571430206298828,12.837481498718262,17179869184,8589934592,12945719296,7210663936
204,1772164238787,3228,3228,3228,3228,3228,3228,3228,3228,45.59421920776367,44.99404525756836,50.316978454589844,49.526580810546875,46.07890319824219,45.37137222290039,47.809688568115234,46.488609313964844,44.38652801513672,46.30485534667969,20,19.047618865966797,80.95238494873047,0,0,0,0,0,13.918882369995117,17179869184,8589934592,12932579328,7210663936
206,1772164238992,3228,3228,3228,3228,3228,3228,3228,3228,45.59421920776367,44.99404525756836,50.316978454589844,49.526580810546875,46.07890319824219,45.37137222290039,47.809688568115234,46.488609313964844,44.38652801513672,46.30485534667969,38.095237731933594,25,42.85714340209961,23.809524536132813,5,0,0,0,13.918882369995117,17179869184,8589934592,12928647168,7210663936
209,1772164239199,3228,3228,3228,3228,3228,3228,3228,3228,44.4359016418457,44.45989227294922,47.578208923339844,46.80903625488281,44.921791076660156,44.43928527832031,47.344383239746094,45.52885437011719,44.01081848144531,45.70685577392578,23.809524536132813,28.571430206298828,36.842105865478516,25,9.523809432983398,9.090909004211426,0,0,13.918882369995117,17179869184,8589934592,12945047552,7210663936
209,1772164239409,3228,3228,3228,3228,3228,3228,3228,3228,44.4359016418457,44.45989227294922,47.578208923339844,46.80903625488281,44.921791076660156,44.43928527832031,47.344383239746094,45.52885437011719,44.01081848144531,45.70685577392578,30.000001907348633,21.052631378173828,31.81818199157715,27.272727966308594,5,9.523809432983398,0,0,13.918882369995117,17179869184,8589934592,12956106752,7210663936
202,1772164239619,3228,3228,3228,3228,3228,3228,3228,3228,44.4359016418457,44.45989227294922,47.578208923339844,46.80903625488281,44.921791076660156,44.43928527832031,47.344383239746094,45.52885437011719,44.01081848144531,45.70685577392578,28.571430206298828,22.72727394104004,76.19047546386719,19.047618865966797,17.39130401611328,9.090909004211426,9.090909004211426,4.761904716491699,9.152973175048828,17179869184,8589934592,12954664960,7210663936
209,1772164239821,3228,3228,3228,3228,3228,3228,3228,3228,44.4359016418457,44.45989227294922,47.578208923339844,46.80903625488281,44.921791076660156,44.43928527832031,47.344383239746094,45.52885437011719,44.01081848144531,45.70685577392578,25,20,25,10,0,0,0,0,9.152973175048828,17179869184,8589934592,12962136064,7210663936
209,1772164240031,3228,3228,3228,3228,3228,3228,3228,3228,44.4359016418457,44.45989227294922,47.578208923339844,46.80903625488281,44.921791076660156,44.43928527832031,47.344383239746094,45.52885437011719,44.01081848144531,45.70685577392578,57.142860412597656,61.904762268066406,28.571430206298828,5,0,0,0,0,9.152973175048828,17179869184,8589934592,12953255936,7210663936
209,1772164240241,3228,3228,3228,3228,3228,3228,3228,3228,43.69975662231445,43.92209243774414,46.246673583984375,45.64644241333008,44.22571563720703,44.105594635009766,46.62702941894531,44.735145568847656,43.55006408691406,45.261260986328125,61.904762268066406,66.66667175292969,33.333335876464844,23.809524536132813,4.761904716491699,0,4.761904716491699,0,9.152973175048828,17179869184,8589934592,12953436160,7210663936
209,1772164240451,3228,3228,3228,3228,3228,3228,3228,3228,43.69975662231445,43.92209243774414,46.246673583984375,45.64644241333008,44.22571563720703,44.105594635009766,46.62702941894531,44.735145568847656,43.55006408691406,45.261260986328125,66.66667175292969,55,50,4.761904716491699,38.095237731933594,0,4.761904716491699,0,9.152973175048828,17179869184,8589934592,12955189248,7210663936
209,1772164240661,3228,3228,3228,3228,3228,3228,3228,3228,43.69975662231445,43.92209243774414,46.246673583984375,45.64644241333008,44.22571563720703,44.105594635009766,46.62702941894531,44.735145568847656,43.55006408691406,45.261260986328125,71.42857360839844,76.19047546386719,33.333335876464844,18.18181800842285,9.523809432983398,0,0,4.761904716491699,7.941380023956299,17179869184,8589934592,12955189248,7210663936
201,1772164240871,3228,3228,3228,3228,3228,3228,3228,3228,43.69975662231445,43.92209243774414,46.246673583984375,45.64644241333008,44.22571563720703,44.105594635009766,46.62702941894531,44.735145568847656,43.55006408691406,45.261260986328125,61.904762268066406,66.66667175292969,28.571430206298828,5,4.761904716491699,0,0,0,7.941380023956299,17179869184,8589934592,13148520448,7210663936
206,1772164241072,3228,3228,3228,3228,3228,3228,3228,3228,43.69975662231445,43.92209243774414,46.246673583984375,45.64644241333008,44.22571563720703,44.105594635009766,46.62702941894531,44.735145568847656,43.55006408691406,45.261260986328125,25,25,25,4.761904716491699,0,0,0,0,7.941380023956299,17179869184,8589934592,13148766208,7210663936
209,1772164241279,3228,3228,3228,3228,3228,3228,3228,3228,43.83024215698242,44.00647735595703,45.668174743652344,45.61125946044922,44.8861083984375,44.3014030456543,46.520225524902344,44.85256576538086,43.72585678100586,45.299293518066406,71.42857360839844,68.18181610107422,47.619049072265625,40,35,28.571430206298828,15.000000953674316,14.285715103149414,7.941380023956299,17179869184,8589934592,13388595200,7210663936
209,1772164241490,3228,3228,3228,3228,3228,3228,3228,3228,43.83024215698242,44.00647735595703,45.668174743652344,45.61125946044922,44.8861083984375,44.3014030456543,46.520225524902344,44.85256576538086,43.72585678100586,45.299293518066406,30.000001907348633,30.000001907348633,23.809524536132813,9.523809432983398,4.545454502105713,0,0,0,7.941380023956299,17179869184,8589934592,13388578816,7210663936
209,1772164241700,3228,3228,3228,3228,3228,3228,3228,3228,43.83024215698242,44.00647735595703,45.668174743652344,45.61125946044922,44.8861083984375,44.3014030456543,46.520225524902344,44.85256576538086,43.72585678100586,45.299293518066406,33.333335876464844,25,15.000000953674316,0,0,0,0,0,7.673852443695068,17179869184,8589934592,13387120640,7210663936
205,1772164241909,3228,3228,3228,3228,3228,3228,3228,3228,43.83024215698242,44.00647735595703,45.668174743652344,45.61125946044922,44.8861083984375,44.3014030456543,46.520225524902344,44.85256576538086,43.72585678100586,45.299293518066406,42.85714340209961,36.3636360168457,36.3636360168457,13.636363983154297,4.761904716491699,9.090909004211426,4.545454502105713,0,7.673852443695068,17179869184,8589934592,13334003712,7210663936
206,1772164242117,3228,3228,3228,3228,3228,3228,3228,3228,43.83024215698242,44.00647735595703,45.668174743652344,45.61125946044922,44.8861083984375,44.3014030456543,46.520225524902344,44.85256576538086,43.72585678100586,45.299293518066406,30.000001907348633,30.000001907348633,40,26.3157901763916,10,9.523809432983398,9.523809432983398,0,7.673852443695068,17179869184,8589934592,13360594944,7210663936
208,1772164242324,3228,3228,3228,3228,3228,3228,3228,3228,43.177005767822266,43.82550811767578,44.43907928466797,44.79734420776367,43.843345642089844,43.702640533447266,46.66672897338867,44.78837585449219,43.585243225097656,45.1121826171875,20,20,20,19.047618865966797,5,10,0,0,7.673852443695068,17179869184,8589934592,13360594944,7210663936
