Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772153050793,3228,3228,3228,3228,3228,3228,3228,3228,61.11494064331055,60.240108489990234,66.49424743652344,65.81045532226563,61.21214294433594,59.1153564453125,62.521148681640625,62.108558654785156,58.680904388427734,59.84074401855469,100,0,100,100,100,0,0,100,20.090858459472656,17179869184,6442450944,13179011072,5488508928
203,1772153050793,3228,3228,3228,3228,3228,3228,3228,3228,61.11494064331055,60.240108489990234,66.49424743652344,65.81045532226563,61.21214294433594,59.1153564453125,62.521148681640625,62.108558654785156,58.680904388427734,59.84074401855469,0,100,NaN,NaN,100,100,NaN,0,20.090858459472656,17179869184,6442450944,13179011072,5488508928
203,1772153050997,3228,3228,3228,3228,3228,3228,3228,3228,61.11494064331055,60.240108489990234,66.49424743652344,65.81045532226563,61.21214294433594,59.1153564453125,62.521148681640625,62.108558654785156,58.680904388427734,59.84074401855469,76.19047546386719,66.66667175292969,52.38095474243164,52.38095474243164,33.333335876464844,50,28.571430206298828,15.000000953674316,20.090858459472656,17179869184,6442450944,13179011072,5488508928
204,1772153051200,3228,3228,3228,3228,3228,3228,3228,3228,60.734378814697266,60.699398040771484,63.59251403808594,64.1370849609375,60.90393829345703,59.046180725097656,63.50178146362305,62.70186996459961,59.12393569946289,60.12792205810547,70,70,76.19047546386719,60.000003814697266,50,52.6315803527832,42.85714340209961,38.095237731933594,20.090858459472656,17179869184,6442450944,13179011072,5488508928
202,1772153051405,3228,3228,3228,3228,3228,3228,3228,3228,60.734378814697266,60.699398040771484,63.59251403808594,64.1370849609375,60.90393829345703,59.046180725097656,63.50178146362305,62.70186996459961,59.12393569946289,60.12792205810547,45,42.85714340209961,57.894737243652344,30.000001907348633,20,28.571430206298828,5,10,20.090858459472656,17179869184,6442450944,13119258624,5488508928
204,1772153051608,3228,3228,3228,3228,3228,3228,3228,3228,60.734378814697266,60.699398040771484,63.59251403808594,64.1370849609375,60.90393829345703,59.046180725097656,63.50178146362305,62.70186996459961,59.12393569946289,60.12792205810547,40,42.105262756347656,38.095237731933594,28.571430206298828,15.000000953674316,10,14.285715103149414,4.761904716491699,20.13627815246582,17179869184,6442450944,13130121216,5488508928
203,1772153051813,3228,3228,3228,3228,3228,3228,3228,3228,60.734378814697266,60.699398040771484,63.59251403808594,64.1370849609375,60.90393829345703,59.046180725097656,63.50178146362305,62.70186996459961,59.12393569946289,60.12792205810547,40,35,40,19.047618865966797,10,35,20,10,20.13627815246582,17179869184,6442450944,13127548928,5488508928
204,1772153052017,3228,3228,3228,3228,3228,3228,3228,3228,60.734378814697266,60.699398040771484,63.59251403808594,64.1370849609375,60.90393829345703,59.046180725097656,63.50178146362305,62.70186996459961,59.12393569946289,60.12792205810547,38.095237731933594,40,30.000001907348633,10.526315689086914,9.523809432983398,22.72727394104004,0,0,20.13627815246582,17179869184,6442450944,13124616192,5488508928
201,1772153052222,3228,3228,3228,3228,3228,3228,3228,3228,60.07785415649414,60.56675338745117,62.07001495361328,62.47987747192383,60.17670440673828,58.975032806396484,63.07334518432617,62.27357864379883,59.37397003173828,60.26484680175781,26.3157901763916,30.000001907348633,40,10,5,15.000000953674316,0,4.761904716491699,20.13627815246582,17179869184,6442450944,13123567616,5488508928
204,1772153052423,3228,3228,3228,3228,3228,3228,3228,3228,60.07785415649414,60.56675338745117,62.07001495361328,62.47987747192383,60.17670440673828,58.975032806396484,63.07334518432617,62.27357864379883,59.37397003173828,60.26484680175781,38.095237731933594,25,33.333335876464844,23.809524536132813,19.047618865966797,55,0,0,20.13627815246582,17179869184,6442450944,13126778880,5488508928
201,1772153052628,3228,3228,3228,3228,3228,3228,3228,3228,60.07785415649414,60.56675338745117,62.07001495361328,62.47987747192383,60.17670440673828,58.975032806396484,63.07334518432617,62.27357864379883,59.37397003173828,60.26484680175781,20,30.000001907348633,20,5,5,10,0,0,21.080289840698242,17179869184,6442450944,13127778304,5488508928
204,1772153052829,3228,3228,3228,3228,3228,3228,3228,3228,60.07785415649414,60.56675338745117,62.07001495361328,62.47987747192383,60.17670440673828,58.975032806396484,63.07334518432617,62.27357864379883,59.37397003173828,60.26484680175781,40,38.095237731933594,15.789472579956055,10,5,9.523809432983398,0,0,21.080289840698242,17179869184,6442450944,13127778304,5488508928
203,1772153053034,3228,3228,3228,3228,3228,3228,3228,3228,60.07785415649414,60.56675338745117,62.07001495361328,62.47987747192383,60.17670440673828,58.975032806396484,63.07334518432617,62.27357864379883,59.37397003173828,60.26484680175781,38.095237731933594,40,27.272727966308594,9.523809432983398,0,5.263157844543457,0,0,21.080289840698242,17179869184,6442450944,13127778304,5488508928
