Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772160219088,3228,3228,3228,3228,3228,3228,3228,3228,45.979862213134766,45.304264068603516,52.03172302246094,50.740936279296875,46.42127990722656,45.3442268371582,47.76408004760742,47.241424560546875,45.08318328857422,45.896392822265625,100,50,NaN,0,0,0,0,0,13.01121997833252,17179869184,9663676416,12666896384,7845969920
202,1772160219088,3228,3228,3228,3228,3228,3228,3228,3228,45.979862213134766,45.304264068603516,52.03172302246094,50.740936279296875,46.42127990722656,45.3442268371582,47.76408004760742,47.241424560546875,45.08318328857422,45.896392822265625,0,0,50,0,0,0,0,0,13.01121997833252,17179869184,9663676416,12666896384,7845969920
208,1772160219291,3228,3228,3228,3228,3228,3228,3228,3228,46.4409065246582,46.851993560791016,49.19541931152344,50.265220642089844,48.300254821777344,46.94047164916992,50.719879150390625,49.65412139892578,47.404964447021484,47.62971496582031,50,45,80,14.285715103149414,0,5,0,0,13.01121997833252,17179869184,9663676416,12666896384,7845969920
209,1772160219499,3228,3228,3228,3228,3228,3228,3228,3228,46.4409065246582,46.851993560791016,49.19541931152344,50.265220642089844,48.300254821777344,46.94047164916992,50.719879150390625,49.65412139892578,47.404964447021484,47.62971496582031,19.047618865966797,20,65,15.000000953674316,17.39130401611328,4.761904716491699,0,0,13.01121997833252,17179869184,9663676416,12666896384,7845969920
206,1772160219709,3228,3228,3228,3228,3228,3228,3228,3228,46.4409065246582,46.851993560791016,49.19541931152344,50.265220642089844,48.300254821777344,46.94047164916992,50.719879150390625,49.65412139892578,47.404964447021484,47.62971496582031,20,19.047618865966797,61.904762268066406,9.523809432983398,5,4.761904716491699,0,0,17.049442291259766,17179869184,9663676416,12653281280,7845969920
202,1772160219916,3228,3228,3228,3228,3228,3228,3228,3228,46.4409065246582,46.851993560791016,49.19541931152344,50.265220642089844,48.300254821777344,46.94047164916992,50.719879150390625,49.65412139892578,47.404964447021484,47.62971496582031,20,20,61.904762268066406,28.571430206298828,23.809524536132813,9.523809432983398,4.761904716491699,5,17.049442291259766,17179869184,9663676416,12634587136,7845969920
209,1772160220118,3228,3228,3228,3228,3228,3228,3228,3228,46.4409065246582,46.851993560791016,49.19541931152344,50.265220642089844,48.300254821777344,46.94047164916992,50.719879150390625,49.65412139892578,47.404964447021484,47.62971496582031,40,38.095237731933594,30.000001907348633,26.3157901763916,15.000000953674316,5,5.263157844543457,5,17.049442291259766,17179869184,9663676416,12616450048,7845969920
203,1772160220328,3228,3228,3228,3228,3228,3228,3228,3228,45.021141052246094,44.774654388427734,49.42095184326172,48.62742233276367,46.028419494628906,44.97965621948242,47.25907897949219,45.95353317260742,44.4854621887207,45.806861877441406,72.7272720336914,75,60.000003814697266,52.38095474243164,40,38.095237731933594,31.81818199157715,19.047618865966797,17.049442291259766,17179869184,9663676416,12632326144,7845969920
204,1772160220531,3228,3228,3228,3228,3228,3228,3228,3228,45.021141052246094,44.774654388427734,49.42095184326172,48.62742233276367,46.028419494628906,44.97965621948242,47.25907897949219,45.95353317260742,44.4854621887207,45.806861877441406,65,61.904762268066406,68.42105102539063,57.142860412597656,55,45,31.57894515991211,30.000001907348633,17.049442291259766,17179869184,9663676416,12672319488,7845969920
204,1772160220735,3228,3228,3228,3228,3228,3228,3228,3228,45.021141052246094,44.774654388427734,49.42095184326172,48.62742233276367,46.028419494628906,44.97965621948242,47.25907897949219,45.95353317260742,44.4854621887207,45.806861877441406,70,73.68421173095703,70,63.15789031982422,60.000003814697266,55,45,35,8.21056842803955,17179869184,9663676416,12689833984,7845969920
200,1772160220940,3228,3228,3228,3228,3228,3228,3228,3228,45.021141052246094,44.774654388427734,49.42095184326172,48.62742233276367,46.028419494628906,44.97965621948242,47.25907897949219,45.95353317260742,44.4854621887207,45.806861877441406,90,90.47618865966797,75,75,63.15789031982422,57.894737243652344,50,52.38095474243164,8.21056842803955,17179869184,9663676416,12691898368,7845969920
209,1772160221140,3228,3228,3228,3228,3228,3228,3228,3228,47.85369110107422,48.754940032958984,52.271385192871094,53.95680618286133,50.44922637939453,48.07316207885742,53.526885986328125,53.481266021728516,49.526554107666016,49.15614318847656,85,80,75,73.68421173095703,65,57.894737243652344,57.894737243652344,33.333335876464844,8.21056842803955,17179869184,9663676416,12727140352,7845969920
202,1772160221350,3228,3228,3228,3228,3228,3228,3228,3228,47.85369110107422,48.754940032958984,52.271385192871094,53.95680618286133,50.44922637939453,48.07316207885742,53.526885986328125,53.481266021728516,49.526554107666016,49.15614318847656,90.47618865966797,90,90,85.71428680419922,85.71428680419922,90.47618865966797,85.71428680419922,77.2727279663086,8.21056842803955,17179869184,9663676416,12976439296,7845969920
204,1772160221553,3228,3228,3228,3228,3228,3228,3228,3228,47.85369110107422,48.754940032958984,52.271385192871094,53.95680618286133,50.44922637939453,48.07316207885742,53.526885986328125,53.481266021728516,49.526554107666016,49.15614318847656,95.23809814453125,95.23809814453125,84.21052551269531,78.94737243652344,68.42105102539063,63.15789031982422,60.000003814697266,50,8.21056842803955,17179869184,9663676416,12993626112,7845969920
203,1772160221757,3228,3228,3228,3228,3228,3228,3228,3228,47.85369110107422,48.754940032958984,52.271385192871094,53.95680618286133,50.44922637939453,48.07316207885742,53.526885986328125,53.481266021728516,49.526554107666016,49.15614318847656,100,100,95,90.47618865966797,95,95,90,90,14.406000137329102,17179869184,9663676416,13012303872,7845969920
205,1772160221961,3228,3228,3228,3228,3228,3228,3228,3228,47.85369110107422,48.754940032958984,52.271385192871094,53.95680618286133,50.44922637939453,48.07316207885742,53.526885986328125,53.481266021728516,49.526554107666016,49.15614318847656,100,100,75,73.68421173095703,70,61.904762268066406,52.6315803527832,45,14.406000137329102,17179869184,9663676416,13062946816,7845969920
208,1772160222167,3228,3228,3228,3228,3228,3228,3228,3228,49.65317153930664,51.206905364990234,54.47865295410156,56.48504638671875,52.870094299316406,49.91532897949219,57.38004684448242,57.53361129760742,52.8842658996582,51.61602783203125,100,100,75,70,60.000003814697266,55,50,40,14.406000137329102,17179869184,9663676416,13062946816,7845969920
