Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772162260764,3228,3228,3228,3228,3228,3228,3228,3228,45.829227447509766,45.644554138183594,48.19226837158203,48.40174865722656,46.299110412597656,45.21263885498047,49.01150131225586,47.0247917175293,45.31070327758789,46.437957763671875,100,100,0,0,0,0,0,0,13.000446319580078,17179869184,8589934592,13506297856,7227703296
209,1772162260764,3228,3228,3228,3228,3228,3228,3228,3228,45.829227447509766,45.644554138183594,48.19226837158203,48.40174865722656,46.299110412597656,45.21263885498047,49.01150131225586,47.0247917175293,45.31070327758789,46.437957763671875,100,100,50,0,0,0,0,0,13.000446319580078,17179869184,8589934592,13508689920,7227703296
202,1772162260974,3228,3228,3228,3228,3228,3228,3228,3228,45.829227447509766,45.644554138183594,48.19226837158203,48.40174865722656,46.299110412597656,45.21263885498047,49.01150131225586,47.0247917175293,45.31070327758789,46.437957763671875,100,100,85,13.636363983154297,4.545454502105713,0,0,0,13.000446319580078,17179869184,8589934592,13508689920,7227703296
208,1772162261177,3228,3228,3228,3228,3228,3228,3228,3228,44.75917434692383,44.920928955078125,46.890472412109375,47.02840805053711,45.32909393310547,44.218421936035156,47.29237365722656,45.6536865234375,44.66748809814453,45.62987518310547,100,100,80,40,20,28.571430206298828,23.809524536132813,18.18181800842285,13.000446319580078,17179869184,8589934592,13508689920,7227703296
209,1772162261385,3228,3228,3228,3228,3228,3228,3228,3228,44.75917434692383,44.920928955078125,46.890472412109375,47.02840805053711,45.32909393310547,44.218421936035156,47.29237365722656,45.6536865234375,44.66748809814453,45.62987518310547,100,100,76.19047546386719,65,60.000003814697266,52.38095474243164,45,35,13.000446319580078,17179869184,8589934592,13620822016,7227703296
209,1772162261595,3228,3228,3228,3228,3228,3228,3228,3228,44.75917434692383,44.920928955078125,46.890472412109375,47.02840805053711,45.32909393310547,44.218421936035156,47.29237365722656,45.6536865234375,44.66748809814453,45.62987518310547,100,100,70,33.333335876464844,18.18181800842285,14.285715103149414,5,0,13.000446319580078,17179869184,8589934592,13600342016,7227703296
209,1772162261805,3228,3228,3228,3228,3228,3228,3228,3228,44.75917434692383,44.920928955078125,46.890472412109375,47.02840805053711,45.32909393310547,44.218421936035156,47.29237365722656,45.6536865234375,44.66748809814453,45.62987518310547,100,100,80,85.71428680419922,66.66667175292969,52.38095474243164,26.086956024169922,28.571430206298828,9.26311206817627,17179869184,8589934592,13628080128,7227703296
209,1772162262015,3228,3228,3228,3228,3228,3228,3228,3228,44.75917434692383,44.920928955078125,46.890472412109375,47.02840805053711,45.32909393310547,44.218421936035156,47.29237365722656,45.6536865234375,44.66748809814453,45.62987518310547,100,100,72.7272720336914,52.38095474243164,19.047618865966797,14.285715103149414,0,0,9.26311206817627,17179869184,8589934592,13633191936,7227703296
202,1772162262225,3228,3228,3228,3228,3228,3228,3228,3228,47.80925369262695,47.68941879272461,53.5068359375,54.2222785949707,48.90949249267578,47.08129119873047,51.78377151489258,50.632503509521484,47.441993713378906,48.12640380859375,100,100,57.142860412597656,47.619049072265625,5,4.761904716491699,0,0,9.26311206817627,17179869184,8589934592,13649559552,7227703296
200,1772162262427,3228,3228,3228,3228,3228,3228,3228,3228,47.80925369262695,47.68941879272461,53.5068359375,54.2222785949707,48.90949249267578,47.08129119873047,51.78377151489258,50.632503509521484,47.441993713378906,48.12640380859375,100,100,40,55,0,0,0,0,9.26311206817627,17179869184,8589934592,13624311808,7227703296
